90204,GLLBaseLine,accept,94137,61665,861200,8957,25517,420,33100,720572,0Crowbarred
90204,GLLBaseLine,accept,94137,61665,861200,8957,25517,420,33100,720572,0Crowbarred
2328,GLLBaseLine,accept,1863,1836,12233,203,239,91,2178,9977,0Crowbarred
2328,GLLBaseLine,accept,1863,1836,12233,203,239,91,2178,9977,0Crowbarred
5895,GLLBaseLine,accept,6533,5054,28868,1703,737,157,3129,18559,0Crowbarred
5895,GLLBaseLine,accept,6533,5054,28868,1703,737,157,3129,18559,0Crowbarred
2340,GLLBaseLine,accept,2097,2044,29094,242,244,174,2872,27677,0Crowbarred
2340,GLLBaseLine,accept,2097,2044,29094,242,244,174,2872,27677,0Crowbarred
3878,GLLBaseLine,accept,13093,22560,584842,580,638,177,26770,570189,0Crowbarred
3878,GLLBaseLine,accept,13093,22560,584842,580,638,177,26770,570189,0Crowbarred
11284,GLLBaseLine,accept,9541,6854,40297,2172,1488,334,4442,26311,0Crowbarred
11284,GLLBaseLine,accept,9541,6854,40297,2172,1488,334,4442,26311,0Crowbarred
3338,GLLBaseLine,accept,1895,1961,19461,309,315,154,2089,17270,0Crowbarred
3338,GLLBaseLine,accept,1895,1961,19461,309,315,154,2089,17270,0Crowbarred
15281,GLLBaseLine,accept,14435,11178,105840,2212,2765,298,8003,85635,0Crowbarred
15281,GLLBaseLine,accept,14435,11178,105840,2212,2765,298,8003,85635,0Crowbarred
978,GLLBaseLine,accept,2087,2316,21412,201,111,75,2700,18870,0Crowbarred
978,GLLBaseLine,accept,2087,2316,21412,201,111,75,2700,18870,0Crowbarred
968,GLLBaseLine,accept,2087,2316,21412,201,111,75,2700,18870,0Crowbarred
968,GLLBaseLine,accept,2087,2316,21412,201,111,75,2700,18870,0Crowbarred
5322,GLLBaseLine,accept,7223,8220,92624,752,954,151,8325,83422,0Crowbarred
5322,GLLBaseLine,accept,7223,8220,92624,752,954,151,8325,83422,0Crowbarred
4559,GLLBaseLine,accept,7524,7387,213784,643,760,225,11401,209908,0Crowbarred
4559,GLLBaseLine,accept,7524,7387,213784,643,760,225,11401,209908,0Crowbarred
3688,GLLBaseLine,accept,4902,3700,44646,657,661,159,4664,39294,0Crowbarred
3688,GLLBaseLine,accept,4902,3700,44646,657,661,159,4664,39294,0Crowbarred
8506,GLLBaseLine,accept,7449,4578,22945,1431,1461,226,2693,12750,0Crowbarred
8506,GLLBaseLine,accept,7449,4578,22945,1431,1461,226,2693,12750,0Crowbarred
9858,GLLBaseLine,accept,11769,23145,444937,717,872,441,21198,425309,0Crowbarred
9858,GLLBaseLine,accept,11769,23145,444937,717,872,441,21198,425309,0Crowbarred
1809,GLLBaseLine,accept,1722,1570,15890,240,252,74,1816,14158,0Crowbarred
1809,GLLBaseLine,accept,1722,1570,15890,240,252,74,1816,14158,0Crowbarred
5901,GLLBaseLine,accept,4936,3721,19222,837,995,137,2102,11830,0Crowbarred
5901,GLLBaseLine,accept,4936,3721,19222,837,995,137,2102,11830,0Crowbarred
2124,GLLBaseLine,accept,1576,1551,19448,216,205,125,2172,18388,0Crowbarred
2124,GLLBaseLine,accept,1576,1551,19448,216,205,125,2172,18388,0Crowbarred
1888,GLLBaseLine,accept,2544,2575,53164,178,178,136,4432,52338,0Crowbarred
1888,GLLBaseLine,accept,2544,2575,53164,178,178,136,4432,52338,0Crowbarred
8599,GLLBaseLine,accept,9469,6562,67196,1564,1368,376,6584,56944,0Crowbarred
8599,GLLBaseLine,accept,9469,6562,67196,1564,1368,376,6584,56944,0Crowbarred
2766,GLLBaseLine,accept,1905,1856,16336,328,427,73,1816,14158,0Crowbarred
2766,GLLBaseLine,accept,1905,1856,16336,328,427,73,1816,14158,0Crowbarred
6428,GLLBaseLine,accept,66451,124797,7720601,952,1080,426,154058,7651686,0Crowbarred
6428,GLLBaseLine,accept,66451,124797,7720601,952,1080,426,154058,7651686,0Crowbarred
1647,GLLBaseLine,accept,1939,2361,16288,305,196,93,2384,13697,0Crowbarred
1647,GLLBaseLine,accept,1939,2361,16288,305,196,93,2384,13697,0Crowbarred
5306,GLLBaseLine,accept,3251,3540,46915,515,473,238,3972,43684,0Crowbarred
5306,GLLBaseLine,accept,3251,3540,46915,515,473,238,3972,43684,0Crowbarred
6971,GLLBaseLine,accept,4099,3803,23463,782,705,253,1908,15153,0Crowbarred
6971,GLLBaseLine,accept,4099,3803,23463,782,705,253,1908,15153,0Crowbarred
2502,GLLBaseLine,accept,1601,1506,16494,260,229,119,1934,15193,0Crowbarred
2502,GLLBaseLine,accept,1601,1506,16494,260,229,119,1934,15193,0Crowbarred
1873,GLLBaseLine,accept,1638,1446,12595,209,171,149,1492,10632,0Crowbarred
1873,GLLBaseLine,accept,1638,1446,12595,209,171,149,1492,10632,0Crowbarred
1919,GLLBaseLine,accept,1679,1599,12733,235,308,88,1492,10632,0Crowbarred
1919,GLLBaseLine,accept,1679,1599,12733,235,308,88,1492,10632,0Crowbarred
4582,GLLBaseLine,accept,6924,8971,100078,734,793,152,7687,89166,0Crowbarred
4582,GLLBaseLine,accept,6924,8971,100078,734,793,152,7687,89166,0Crowbarred
4354,GLLBaseLine,accept,8174,11670,173018,546,504,264,12531,162893,0Crowbarred
4354,GLLBaseLine,accept,8174,11670,173018,546,504,264,12531,162893,0Crowbarred
2760,GLLBaseLine,accept,1991,1977,24983,243,289,121,2560,23386,0Crowbarred
2760,GLLBaseLine,accept,1991,1977,24983,243,289,121,2560,23386,0Crowbarred
1408,GLLBaseLine,accept,1495,2020,12340,171,225,66,2058,10285,0Crowbarred
