4305,GLLBaseLine,accept,3129,1836,6717,685,590,141,3299,5707,0,2897,1482,4612,685,590,55,0,0,2759,1104.179
4799,GLLBaseLine,accept,2974,1790,5698,819,604,70,2294,3832,0,2841,1531,4543,819,604,31,0,0,1658,434.985
2119,GLLBaseLine,accept,1014,662,2207,232,179,94,1435,2066,0,888,484,1414,232,179,38,0,0,920,154.956
2044,GLLBaseLine,accept,1788,1059,4745,332,381,49,2501,6507,0,1575,805,2481,332,381,20,0,0,3684,1459.188
322,GLLBaseLine,accept,250,165,499,56,64,9,504,829,0,232,127,363,56,64,4,0,0,448,35.042
828,GLLBaseLine,accept,505,361,1201,111,140,22,688,1194,0,425,264,692,111,140,10,0,0,576,58.351
570,GLLBaseLine,accept,353,219,672,79,81,18,391,594,0,329,171,506,79,81,7,0,0,313,22.487
1193,GLLBaseLine,accept,616,476,1561,136,175,19,1925,4504,0,567,351,964,136,175,10,0,0,2341,659.825
377,GLLBaseLine,accept,265,175,573,58,54,11,462,792,0,252,134,409,58,54,5,0,0,424,35.856
350,GLLBaseLine,accept,258,167,558,55,49,11,574,976,0,233,115,359,55,49,5,0,0,515,45.956
350,GLLBaseLine,accept,335,230,700,70,91,13,749,1334,0,313,181,511,70,91,7,0,0,717,99.435
1035,GLLBaseLine,accept,569,432,1470,121,146,19,2513,5896,0,517,307,865,121,146,10,0,0,3250,1291.237
585,GLLBaseLine,accept,379,244,768,82,85,20,531,880,0,345,180,533,82,85,9,0,0,452,37.822
427,GLLBaseLine,accept,324,258,941,56,67,17,1176,2526,0,286,166,501,56,67,9,0,0,1350,228.047
2092,GLLBaseLine,accept,1177,832,2460,294,297,55,2469,3719,0,1106,725,1938,294,297,22,0,0,1182,359.622
1708,GLLBaseLine,accept,568,594,1308,180,224,76,2364,2831,0,556,576,1241,180,224,69,0,0,619,178.974
440,GLLBaseLine,accept,144,155,354,44,56,29,366,442,0,134,137,290,44,56,23,0,0,104,11.814
719,GLLBaseLine,accept,255,270,804,76,82,33,1388,1983,0,222,221,492,76,82,21,0,0,537,100.394
134,GLLBaseLine,accept,38,35,91,10,12,7,157,177,0,30,23,53,10,12,2,0,0,45,2.827
379,GLLBaseLine,accept,145,127,420,35,33,25,1092,1464,0,115,85,206,35,33,15,0,0,374,58.712
498,GLLBaseLine,accept,140,171,398,39,45,27,546,672,0,123,127,257,39,45,19,0,0,198,21.584
256,GLLBaseLine,accept,104,95,277,25,30,21,557,694,0,88,69,161,25,30,13,0,0,165,19.352
1105,GLLBaseLine,accept,748,523,1860,176,88,18,420,662,0,700,461,1571,176,88,7,0,0,305,25.889
