tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/rdp_full.tok,26551,ARTEarleyTableIndexedPool,accept,30,107.629,129.171,114.918,109.632,***,107.629,108.971,109.691,110.52,111.35,111.378,111.954,111.957,112.394,112.581,112.736,112.991,113.739,114.115,114.127,114.212,114.507,115.211,115.458,116.375,116.874,116.993,117.139,117.406,117.627,119.224,119.426,119.93,121.86,129.171
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/rdp_full.tok,26551,ARTEarleyTableIndexedPool (C),accept,30,45.933,48.198,46.834,46.112,***,45.933,45.957,46.141,46.201,46.33,46.484,46.495,46.515,46.672,46.688,46.691,46.741,46.757,46.79,46.81,46.834,46.871,46.873,46.906,46.907,46.909,46.926,46.974,47.184,47.249,47.393,47.412,47.579,47.593,48.198
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,COBOL,rhul/earleyTableData/cob_rob.gtb,rhul/earleyTableData/cob_str.tok,2197,BRNLGR (GTB with Pool),accept,30,13.77,15.644,14.311,13.871,***,13.77,13.819,13.86,13.948,13.956,13.973,14.014,14.037,14.12,14.161,14.306,14.333,14.342,14.342,14.368,14.37,14.38,14.396,14.398,14.405,14.413,14.428,14.444,14.462,14.466,14.478,14.525,14.541,14.628,15.644
art.jar,earleyIndexedPoolV3.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cob_str.tok,2197,ARTEarleyIndexedPool,accept,30,85.106,132.389,107.818,85.772,***,85.106,85.189,85.643,86.458,86.462,86.787,87.166,87.669,90.223,91.459,92.048,92.533,95.347,100.885,106.921,112.36,118.48,120.512,120.613,122.282,122.691,123.48,124.085,125.063,127.969,129.285,131.498,131.785,132.138,132.389
art.jar,earleyIndexedPoolV3_g++.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cob_str.tok,2197,ARTEarleyIndexedPool (C),accept,30,10.248,11.031,10.469,10.295,***,10.248,10.293,10.296,10.317,10.32,10.354,10.362,10.364,10.364,10.388,10.398,10.413,10.415,10.416,10.418,10.425,10.442,10.448,10.478,10.482,10.502,10.503,10.504,10.521,10.526,10.562,10.608,10.783,10.892,11.031
art.jar,earleyTableIndexedPoolV3.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cob_str.tok,2197,ARTEarleyTableIndexedPool,accept,30,23.877,51.982,29.702,24.907,***,23.877,25.019,25.174,25.225,25.24,25.304,25.549,25.672,25.718,25.752,25.897,25.964,26.012,26.845,26.92,27.03,27.299,27.499,27.929,28.552,30.74,31.636,32.432,33.628,35.167,36.258,37.206,39.094,40.435,51.982
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.000,0,ARTEarleyIndexedPool,reject,30,0.088,0.146,0.102,0.089,***,0.088,0.088,0.089,0.09,0.091,0.091,0.092,0.092,0.094,0.095,0.096,0.097,0.097,0.099,0.099,0.1,0.102,0.102,0.104,0.104,0.106,0.106,0.107,0.11,0.112,0.118,0.118,0.119,0.119,0.146
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.000,0,ARTEarleyIndexedPool (C),reject,30,0.018,0.024,0.019,0.018,***,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.022,0.024
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.000,0,ARTEarleyTableIndexedPool,reject,30,19.742,24.302,22.237,20.451,***,19.742,20.314,20.444,20.566,21.19,21.64,21.759,21.786,21.815,21.921,21.945,21.965,22.08,22.081,22.158,22.17,22.245,22.407,22.577,22.59,22.674,22.689,22.807,22.836,23.066,23.478,23.682,23.993,24.174,24.302
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.000,0,ARTEarleyTableIndexedPool (C),reject,30,0.019,0.024,0.021,0.019,***,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.023,0.024
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyIndexedPool,accept,30,2.334,2.88,2.497,2.366,***,2.334,2.355,2.356,2.379,2.404,2.411,2.433,2.435,2.439,2.447,2.459,2.461,2.467,2.468,2.48,2.491,2.495,2.497,2.498,2.505,2.511,2.515,2.552,2.563,2.58,2.583,2.634,2.642,2.65,2.88
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyIndexedPool (C),accept,30,0.14,0.191,0.147,0.14,***,0.14,0.14,0.14,0.141,0.141,0.142,0.143,0.143,0.143,0.144,0.144,0.144,0.144,0.144,0.144,0.145,0.145,0.145,0.145,0.146,0.146,0.147,0.147,0.148,0.149,0.149,0.152,0.162,0.166,0.191
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyTableIndexedPool,accept,30,22.01,26.407,24.117,22.533,***,22.01,22.418,22.51,22.851,22.875,22.99,23.437,23.482,23.503,23.584,23.758,23.78,23.812,24.128,24.206,24.264,24.342,24.408,24.528,24.613,24.722,24.755,24.775,24.872,24.939,24.96,25.074,25.616,25.901,26.407
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyTableIndexedPool (C),accept,30,0.074,0.107,0.082,0.075,***,0.074,0.074,0.075,0.075,0.077,0.077,0.077,0.077,0.077,0.078,0.079,0.079,0.08,0.08,0.08,0.08,0.08,0.08,0.081,0.082,0.082,0.082,0.083,0.083,0.085,0.092,0.092,0.093,0.094,0.107
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyIndexedPool,accept,30,5.547,6.335,5.898,5.654,***,5.547,5.599,5.675,5.719,5.73,5.778,5.782,5.793,5.796,5.805,5.817,5.817,5.832,5.851,5.863,5.863,5.873,5.885,5.894,5.919,5.921,5.945,5.952,6.022,6.056,6.163,6.173,6.24,6.288,6.335
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyIndexedPool (C),accept,30,0.87,0.939,0.898,0.874,***,0.87,0.871,0.874,0.876,0.878,0.878,0.882,0.882,0.884,0.89,0.89,0.892,0.893,0.893,0.894,0.895,0.898,0.9,0.902,0.904,0.907,0.909,0.912,0.914,0.919,0.92,0.921,0.933,0.934,0.939
