tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyIndexedPool,accept,30,148.904,167.879,157.543,152.043,***,148.904,151.812,152.628,152.91,153.959,154.033,155.028,155.212,155.96,156.095,156.229,156.242,156.846,157.094,157.174,157.791,157.884,157.908,158.117,158.606,158.951,159.547,159.743,160.076,160.33,160.585,161.505,161.598,165.637,167.879
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyIndexedPool (C),accept,30,100.326,108.434,101.416,100.574,***,100.326,100.423,100.514,100.755,100.853,100.906,100.914,100.955,100.964,100.976,101.052,101.061,101.13,101.148,101.205,101.217,101.257,101.298,101.322,101.338,101.367,101.411,101.459,101.607,101.615,101.65,101.676,101.758,101.887,108.434
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyTableIndexedPool,accept,30,83.737,92.621,88.425,85.48,***,83.737,85.733,85.782,86.044,86.102,86.569,86.65,87.209,87.483,87.493,87.944,88.015,88.037,88.04,88.29,88.407,88.594,88.963,89.14,89.276,89.386,89.468,89.481,90.138,90.533,90.585,90.837,90.858,91.348,92.621
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyTableIndexedPool (C),accept,30,9.329,10.044,9.669,9.449,***,9.329,9.445,9.466,9.489,9.516,9.536,9.588,9.595,9.603,9.603,9.624,9.638,9.644,9.645,9.649,9.684,9.691,9.692,9.703,9.722,9.726,9.748,9.767,9.773,9.787,9.8,9.817,9.863,9.887,10.044
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyIndexedPool,accept,30,206.729,225.652,216.708,211.23,***,206.729,208.385,213.455,213.494,214.086,214.13,214.7,214.865,214.908,215.086,215.454,215.903,215.959,216.241,216.364,216.531,216.822,217.17,217.59,217.849,218.497,218.967,219.326,219.65,219.945,220.075,220.536,220.808,222.058,225.652
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyIndexedPool (C),accept,30,142.039,146.195,145.325,144.197,***,142.039,144.074,144.826,145.01,145.035,145.081,145.137,145.25,145.3,145.343,145.363,145.436,145.445,145.454,145.467,145.471,145.476,145.521,145.53,145.53,145.559,145.635,145.651,145.704,145.727,145.734,145.743,145.942,146.057,146.195
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyTableIndexedPool,accept,30,97.38,105.031,102.27,99.414,***,97.38,99.339,99.712,100.278,100.363,100.473,100.512,100.711,100.828,101.232,101.4,101.786,101.968,102.017,102.682,102.759,102.905,102.918,102.989,103.522,103.534,103.559,103.575,103.735,104.081,104.512,104.526,104.737,105.027,105.031
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyTableIndexedPool (C),accept,30,12.919,13.714,13.312,12.986,***,12.919,12.937,12.994,13.012,13.067,13.075,13.13,13.138,13.193,13.216,13.233,13.237,13.245,13.284,13.32,13.359,13.361,13.364,13.366,13.412,13.501,13.507,13.508,13.511,13.512,13.549,13.549,13.569,13.575,13.714
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyIndexedPool,accept,30,269.761,297.618,277.863,270.527,***,269.761,270.094,270.323,270.432,272.023,272.026,272.534,273.712,274.445,275.405,276.017,276.39,277.57,277.849,277.875,277.889,278.838,279.071,279.524,279.633,279.738,279.935,280.584,280.922,280.955,282.956,283.307,283.73,284.728,297.618
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyIndexedPool (C),accept,30,197.683,209.107,202.086,199.891,***,197.683,198.106,200.878,201.381,201.405,201.41,201.444,201.471,201.534,201.601,201.614,201.635,201.65,201.687,201.727,201.777,201.876,202.065,202.151,202.18,202.233,202.266,202.535,202.684,202.798,203.539,203.893,204.117,204.141,209.107
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyTableIndexedPool,accept,30,116.385,132.858,125.373,118.705,***,116.385,118.386,118.387,119.142,121.223,121.751,122.297,123.656,123.76,123.802,123.896,124.471,125.025,125.107,125.482,125.629,126.439,126.522,127.551,127.617,127.8,127.847,128.55,128.594,128.77,129.23,129.924,130.18,130.919,132.858
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyTableIndexedPool (C),accept,30,17.092,17.897,17.539,17.221,***,17.092,17.209,17.229,17.246,17.328,17.35,17.397,17.398,17.422,17.458,17.482,17.488,17.522,17.527,17.53,17.554,17.562,17.595,17.606,17.608,17.639,17.654,17.657,17.744,17.751,17.751,17.758,17.833,17.873,17.897
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyIndexedPool,accept,30,364.357,401.061,374.667,366.467,***,364.357,365.764,367.221,367.381,367.61,367.671,367.847,368.157,368.402,368.866,369.164,369.7,369.986,370.6,372.583,373.384,374.689,375.1,375.548,375.629,376.019,376.718,378.726,378.73,379.899,380.631,383.961,391.416,393.197,401.061
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyIndexedPool (C),accept,30,268.831,275.038,273.426,270.97,***,268.831,269.293,271.966,272.182,272.578,272.83,272.884,273.013,273.109,273.217,273.225,273.238,273.591,273.7,273.719,273.75,273.763,273.823,273.837,273.973,274.09,274.248,274.321,274.588,274.592,274.721,274.811,274.817,275.019,275.038
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyTableIndexedPool,accept,30,133.533,148.417,139.827,135.073,***,133.533,134.479,135.546,135.873,135.936,136.002,136.42,136.77,138.039,138.043,138.146,138.493,138.509,138.626,138.918,139.713,139.792,140.267,140.389,140.814,141.085,141.277,142.061,142.272,144.309,144.492,144.999,145.529,146.059,148.417
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyTableIndexedPool (C),accept,30,22.06,23.572,22.675,22.232,***,22.06,22.233,22.24,22.281,22.345,22.393,22.445,22.478,22.521,22.524,22.525,22.629,22.666,22.686,22.7,22.706,22.72,22.723,22.79,22.805,22.813,22.819,22.839,22.856,22.912,22.94,22.948,22.977,23.099,23.572
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyIndexedPool,accept,30,474.625,502.059,488.906,479.396,***,474.625,480.417,480.494,480.594,480.849,480.962,481.132,482.966,484.061,484.828,485.57,485.874,486.832,487.728,487.854,488.559,488.831,491.17,491.947,492.669,493.697,493.821,494.105,494.367,495.228,495.604,497.573,500.705,502.058,502.059
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyIndexedPool (C),accept,30,361.374,365.755,363.346,361.778,***,361.374,361.703,361.708,362.041,362.066,362.196,362.212,362.373,362.562,362.57,362.637,362.976,363.039,363.073,363.158,363.345,363.367,363.442,363.471,363.537,363.765,363.838,363.918,364.233,364.321,364.802,365.548,365.655,365.702,365.755
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyTableIndexedPool,accept,30,155.822,167.145,160.343,156.997,***,155.822,157.07,157.128,157.417,157.547,157.679,157.863,158.384,158.477,158.968,159.418,159.667,159.674,159.973,160.719,160.766,160.791,160.88,160.931,161.203,161.418,161.592,161.601,161.915,162.26,162.429,163.126,163.804,164.617,167.145
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyTableIndexedPool (C),accept,30,28.204,31.041,29.035,28.489,***,28.204,28.452,28.501,28.644,28.646,28.657,28.705,28.707,28.756,28.791,28.841,28.891,28.926,29.001,29.005,29.008,29.052,29.074,29.115,29.117,29.121,29.121,29.265,29.283,29.299,29.414,29.422,29.444,29.539,31.041
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyIndexedPool,accept,30,605.472,696.365,627.37,608.938,***,605.472,607.187,609.68,611.01,611.342,612.094,612.679,612.709,614.559,614.761,616.088,619.851,623.303,625.16,627.482,627.505,629.48,632.253,633.849,634.045,636.252,636.308,636.442,638.478,638.85,639,639.19,639.333,640.375,696.365
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyIndexedPool (C),accept,30,467.019,476.326,474.222,471.303,***,467.019,471.247,472.542,472.78,472.925,473.219,473.354,473.501,473.693,473.767,473.795,473.867,474.005,474.184,474.375,474.467,474.542,474.857,474.945,475.093,475.354,475.415,475.444,475.683,475.939,476,476.003,476.038,476.275,476.326
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyTableIndexedPool,accept,30,177.393,188.939,182.654,178.655,***,177.393,177.503,178.576,179.79,180.011,180.046,180.193,180.195,180.397,180.805,181.151,181.58,181.929,181.97,182.416,183.023,183.061,183.213,183.222,183.67,183.683,183.866,184.289,185.403,185.481,185.521,186.026,187.384,188.884,188.939
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyTableIndexedPool (C),accept,30,36.179,39.657,36.956,36.262,***,36.179,36.194,36.283,36.31,36.343,36.428,36.46,36.525,36.557,36.578,36.598,36.666,36.678,36.694,36.739,36.744,36.769,36.773,36.773,36.869,36.907,36.918,37.328,37.334,37.366,37.658,37.961,38.178,38.217,39.657
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyIndexedPool,accept,30,751.99,779.964,766.892,759.524,***,751.99,760.941,761.342,761.558,761.787,761.909,762.36,762.871,763.51,763.866,764.534,765.246,765.634,766.299,766.476,767.32,767.662,767.702,768.073,768.146,768.63,769.64,769.882,769.887,771.905,773.1,773.785,775.136,775.606,779.964
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyIndexedPool (C),accept,30,599.541,611.966,608.165,604.887,***,599.541,605.256,606.035,606.378,607.225,607.332,607.482,607.515,607.522,607.589,607.655,607.781,608.194,608.209,608.435,608.493,608.527,608.592,608.664,608.795,608.812,608.908,608.973,609.059,609.136,609.285,610.921,611.203,611.467,611.966
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyTableIndexedPool,accept,30,205.682,223.367,210.548,206.509,***,205.682,206.318,206.641,206.71,207.192,207.244,207.579,207.983,208.511,209.052,209.112,209.605,209.683,209.685,209.87,210.089,210.264,210.35,210.536,210.773,211.097,211.275,212.311,212.417,212.465,212.743,215.434,215.797,216.658,223.367
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyTableIndexedPool (C),accept,30,45.392,49.724,46.622,45.521,***,45.392,45.456,45.559,45.561,45.635,45.722,45.764,45.811,45.866,45.913,46.03,46.089,46.093,46.109,46.124,46.188,46.212,46.474,46.477,46.632,46.738,46.841,46.97,47.174,47.834,47.84,48.183,49.108,49.139,49.724
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyIndexedPool,accept,30,939.406,1024.02,976.856,957.007,***,939.406,957.421,957.859,964.948,965.399,965.939,966.19,966.958,967.523,967.648,967.885,969.818,970.857,970.988,971.026,972.905,973.096,973.342,976.882,976.983,977.016,978.364,979.51,994.061,996.905,998.774,1001.087,1003.657,1009.211,1024.02
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyIndexedPool (C),accept,30,763.356,773.684,768.492,765.918,***,763.356,765.992,766.362,766.757,767.121,767.175,767.198,767.347,767.534,767.537,767.62,767.633,767.958,767.981,767.984,768.063,768.247,768.265,768.997,769.105,769.124,769.135,769.201,769.729,769.816,770.534,770.795,770.888,773.63,773.684
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyTableIndexedPool,accept,30,237.052,249.015,242.487,238.1,***,237.052,237.075,238.486,238.624,239.261,239.349,239.928,240.393,240.552,241.096,241.259,241.377,241.65,242.015,242.019,242.29,242.665,243.197,243.208,243.263,243.933,244.068,244.88,244.899,245.758,246.021,246.03,246.98,248.268,249.015
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyTableIndexedPool (C),accept,30,55.889,61.272,57.487,56.626,***,55.889,56.777,56.795,56.833,56.834,56.861,56.864,56.891,56.956,56.961,56.996,57.048,57.073,57.108,57.13,57.13,57.132,57.152,57.422,57.512,57.553,57.603,57.68,57.736,58.026,58.466,58.788,59.039,59.083,61.272
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyIndexedPool,accept,30,1188.431,1240.338,1208.319,1194.457,***,1188.431,1191.86,1196.855,1197.447,1197.69,1198.769,1198.799,1200.444,1201.294,1202.019,1202.946,1203.759,1205.486,1205.793,1205.811,1207.297,1207.532,1208.158,1208.275,1209.35,1209.55,1212.852,1214.123,1215.912,1216.384,1217.358,1225.848,1227.518,1231.675,1240.338
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyIndexedPool (C),accept,30,950.489,972.889,962.162,956.536,***,950.489,956.39,958.055,958.861,958.883,960.071,960.131,960.423,960.486,960.498,961.428,961.622,961.896,962.194,962.578,962.798,962.801,962.906,963.252,963.292,963.934,963.957,963.997,964.09,964.191,964.198,964.734,965.37,968.453,972.889
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyTableIndexedPool,accept,30,269.458,288.904,276.612,270.63,***,269.458,270.357,270.466,271.417,271.451,271.48,271.623,272.635,273.544,273.766,273.871,274.005,275.805,276.212,276.243,276.402,277.778,277.99,278.159,278.68,278.897,278.941,279.901,280.257,280.752,281.004,281.471,281.657,285.24,288.904
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyTableIndexedPool (C),accept,30,68.329,83.613,70.323,69.071,***,68.329,69.093,69.203,69.311,69.421,69.537,69.581,69.653,69.677,69.695,69.734,69.742,69.767,69.812,69.814,69.821,69.876,69.897,70.051,70.086,70.131,70.255,70.315,70.41,70.421,70.463,70.509,70.578,70.888,83.613
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyIndexedPool,accept,30,1443.659,1507.955,1478.973,1456.169,***,1443.659,1453.475,1456.464,1463.001,1464.247,1466.761,1469.016,1469.28,1470.054,1471.394,1472.92,1474.081,1474.33,1474.98,1478.131,1480.581,1481.336,1482.002,1482.036,1485.544,1485.649,1486.494,1491.503,1491.692,1491.843,1497.672,1498.704,1501.707,1502.68,1507.955
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyIndexedPool (C),accept,30,1179.234,1209.1,1186.41,1180.601,***,1179.234,1180.371,1180.981,1181.021,1181.399,1181.443,1181.993,1182.612,1182.738,1182.818,1182.963,1183.069,1183.434,1183.824,1184.029,1184.263,1184.551,1184.906,1185.426,1186.06,1187.037,1187.279,1188.542,1189.348,1189.693,1189.981,1196.328,1196.591,1201.266,1209.1
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyTableIndexedPool,accept,30,312.579,331.323,318.043,313.324,***,312.579,313.086,313.51,313.609,313.834,314.172,314.402,315.228,315.32,316.08,316.187,316.574,316.692,317.055,317.104,317.906,318.171,318.215,318.276,318.625,318.743,319.086,319.274,319.423,321.536,321.655,322.605,323.517,327.508,331.323
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyTableIndexedPool (C),accept,30,84.135,122.318,87.367,84.42,***,84.135,84.429,84.467,84.496,84.574,84.791,84.893,84.919,85.147,85.158,85.254,85.325,85.36,85.411,85.434,85.544,85.589,85.638,85.697,85.742,85.749,85.758,85.903,86.016,86.411,87.023,87.051,91.955,100.834,122.318
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyIndexedPool,accept,30,1740.336,1804.84,1775.538,1753.728,***,1740.336,1751.731,1757.626,1757.65,1761.296,1764.06,1769.262,1769.531,1771.092,1771.129,1772.23,1772.697,1772.897,1774.589,1774.612,1775.699,1776.733,1776.821,1779.084,1779.784,1780.13,1781.033,1783.293,1784.944,1787.94,1789.987,1791.166,1792.35,1801.595,1804.84
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyIndexedPool (C),accept,30,1427.066,1494.598,1450.903,1436.545,***,1427.066,1438.831,1438.877,1438.956,1438.995,1439.134,1440.955,1441.723,1441.745,1441.933,1442.274,1442.516,1442.58,1442.915,1443.114,1444.552,1444.809,1446.518,1449.21,1450.941,1451.411,1452.372,1453.002,1455.164,1465.168,1475.545,1476.662,1478.92,1486.618,1494.598
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyTableIndexedPool,accept,30,344.52,374.538,364.101,354.348,***,344.52,354.113,355.564,357.942,359.599,359.787,361.39,361.911,362.388,362.542,363.034,363.389,363.763,363.849,364.665,365.447,365.509,365.624,365.966,366.715,366.956,367.442,367.756,367.972,368.669,368.84,369.59,371.56,372.001,374.538
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyTableIndexedPool (C),accept,30,101.105,137.763,106.662,101.869,***,101.105,101.729,102.09,102.194,102.225,102.225,102.269,102.373,102.495,102.516,102.564,102.571,102.656,102.659,102.699,102.893,102.898,102.981,103.008,103.238,103.267,103.403,103.902,103.912,104.289,106.25,117.9,133.805,135.967,137.763
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyIndexedPool,accept,30,2075.715,2375.249,2134.073,2091.971,***,2075.715,2084.744,2093.665,2096.424,2109.308,2116.077,2118.092,2118.903,2119.34,2119.724,2120.345,2123.162,2124.84,2127.382,2129.282,2129.395,2130.603,2130.91,2131.715,2132.594,2134.646,2136.031,2136.078,2138.805,2142.44,2155.719,2155.727,2156.168,2159.108,2375.249
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyIndexedPool (C),accept,30,1723.055,1954.445,1768.48,1733.398,***,1723.055,1732.06,1733.381,1738.049,1740.446,1742.089,1743.348,1743.964,1745.643,1748.091,1748.954,1749.172,1759.021,1761.43,1766.042,1769.947,1772.384,1773.67,1776.314,1776.801,1777.221,1777.778,1778.432,1781.015,1781.808,1782.904,1788.993,1791.823,1796.109,1954.445
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyTableIndexedPool,accept,30,413.357,434.051,423.518,415.776,***,413.357,413.987,414.157,418.012,419.367,419.929,420.222,420.554,420.818,420.942,421.672,421.813,421.854,422.75,422.896,423.106,423.455,423.767,424.247,424.535,425.282,426.026,426.843,427.644,428.334,429.65,430.826,431.895,433.547,434.051
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyTableIndexedPool (C),accept,30,120.876,162.293,124.748,121.939,***,120.876,121.359,122.387,122.505,122.569,122.634,122.646,122.729,122.828,122.876,123.082,123.114,123.147,123.161,123.164,123.18,123.246,123.287,123.296,123.322,123.323,123.368,123.382,123.453,123.624,123.675,123.751,124.173,136.001,162.293
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceV.tok,40311,ARTEarleyIndexedPool,accept,30,1426.512,1569.004,1503.402,1452.461,***,1426.512,1456.696,1457.02,1459.484,1462.591,1463.965,1466.404,1472.736,1473.446,1476.438,1486.095,1490.996,1492.616,1498.608,1503.173,1504.321,1509.399,1519.586,1522.607,1522.672,1524.769,1525.399,1527.807,1539.922,1542.942,1546.083,1551.254,1553.657,1555.862,1569.004
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceV.tok,40311,ARTEarleyIndexedPool (C),accept,30,461.832,520.544,475.468,465.361,***,461.832,463.778,465.268,467.369,468.556,469.532,469.986,470.013,471.033,471.138,471.529,471.968,472.154,472.292,472.379,472.444,472.592,472.639,473.085,473.229,473.499,473.503,473.606,474.109,474.591,479.892,489.449,497.349,504.678,520.544
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceV.tok,40311,ARTEarleyTableIndexedPool,accept,30,189.321,256.257,207.212,191.36,***,189.321,189.491,191.573,192.975,193.44,193.946,195.086,195.176,195.339,195.503,195.763,196.131,196.835,196.993,200.131,200.326,203.565,203.675,203.746,205.163,206.562,208.053,208.774,209.121,230.801,234.465,237.804,241.985,248.348,256.257
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceV.tok,40311,ARTEarleyTableIndexedPool (C),accept,30,96.509,117.875,101.291,97.207,***,96.509,96.697,96.944,97.799,98.084,99.313,99.611,100.264,100.844,101.103,101.129,101.139,101.347,101.372,101.489,101.509,101.533,101.577,101.598,101.605,101.64,101.801,101.877,101.909,101.969,102.184,102.335,102.352,103.317,117.875
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/artSourceW.tok,19085,BRNLGR (GTB with Pool),accept,30,318.485,352.154,324.814,319.072,***,318.485,318.925,318.93,319.055,319.966,320.388,320.986,321.199,321.334,321.368,321.748,321.81,321.983,322.063,322.144,322.187,322.292,322.296,322.478,322.6,322.658,323.04,323.197,323.579,323.689,335.227,335.329,337.97,345.334,352.154
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceW.tok,19085,ARTEarleyIndexedPool,accept,30,741.43,1027.653,902.158,762.913,***,741.43,756.05,764.57,774.997,777.517,780.37,793.453,794.112,805.673,854.672,901.387,916.315,916.983,924.208,924.284,930.377,933.849,939.97,940.03,946.554,956.784,959.859,980.309,988.632,1002.011,1002.48,1004.164,1004.178,1021.873,1027.653
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceW.tok,19085,ARTEarleyIndexedPool (C),accept,30,222.584,235.352,232.329,229.541,***,222.584,230.705,231.172,231.499,231.744,231.948,232.024,232.033,232.084,232.252,232.451,232.479,232.48,232.544,232.605,232.621,232.671,232.826,232.892,232.953,233.009,233.051,233.158,233.305,233.317,233.466,233.477,233.549,233.61,235.352
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceW.tok,19085,ARTEarleyTableIndexedPool,accept,30,76.521,122.543,110.076,99.459,***,76.521,103.935,104.006,105.963,106.872,106.921,107.451,107.486,108.305,108.447,108.508,108.544,108.762,108.837,109.456,109.731,110.151,111.983,112.153,112.837,113.834,114.29,114.558,115.161,115.563,116.778,117.33,117.432,117.909,122.543
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/artSourceW.tok,19085,ARTEarleyTableIndexedPool (C),accept,30,52.767,55.438,53.966,52.939,***,52.767,52.784,52.962,53.02,53.161,53.25,53.328,53.345,53.525,53.566,53.844,53.851,53.993,54.007,54.032,54.115,54.126,54.209,54.295,54.326,54.329,54.339,54.478,54.525,54.542,54.568,54.628,54.656,54.983,55.438
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/Life.tok,1429,BRNLGR (GTB with Pool),accept,30,10.322,11.175,10.934,10.692,***,10.322,10.677,10.746,10.856,10.86,10.883,10.892,10.9,10.905,10.921,10.947,10.947,10.951,10.96,10.964,10.967,10.973,10.978,10.979,10.98,10.992,10.993,11.009,11.016,11.025,11.027,11.047,11.057,11.085,11.175
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/Life.tok,1429,ARTEarleyIndexedPool,accept,30,61.77,74.946,67.373,63.443,***,61.77,63.323,63.487,63.795,64.839,65.081,65.136,65.392,65.489,65.717,65.773,65.896,66.002,66.038,67.183,67.509,67.733,67.795,68.081,68.671,68.762,68.769,68.784,69.04,69.998,70.565,70.595,71.483,73.539,74.946
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/Life.tok,1429,ARTEarleyIndexedPool (C),accept,30,16.521,17.532,16.792,16.538,***,16.521,16.53,16.541,16.541,16.555,16.568,16.572,16.573,16.584,16.587,16.614,16.615,16.629,16.66,16.67,16.691,16.692,16.741,16.776,16.778,16.821,16.879,16.936,16.97,17.035,17.062,17.121,17.458,17.494,17.532
