tool,script,language,grammar,string,length,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/view_ite.tok,24515,BRNLGR (GTB with Pool),accept,30,12.677,14.449,13.348,12.900,***,12.677,12.834,12.947,13.006,13.034,13.041,13.071,13.08,13.129,13.135,13.146,13.166,13.206,13.269,13.336,13.352,13.355,13.422,13.432,13.451,13.461,13.491,13.546,13.559,13.562,13.639,13.765,13.929,13.952,14.449,
art.jar,earleyTableIndexedPool.artv3,Pascal,iso_pascal_7185/tok/pascal.art,rhul/tok/quad.tok,1459,ARTEarleyTableIndexedPool,accept,30,17.391,34.287,22.731,18.535,***,17.391,18.77,18.786,18.843,18.884,18.903,19.2,19.385,19.391,19.431,19.45,20.071,20.181,20.435,20.703,20.734,24.775,24.82,24.878,24.975,24.984,26.163,26.256,26.366,26.42,26.509,26.554,27.068,27.315,34.287,
gtb_mgw32_gcc_O3.exe,rnglr_lr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/quad.tok,1417,RNLGR (GTB with standard memory allocator),accept,30,0.708,0.776, 0.742, 0.716,***,0.708,0.713,0.716,0.72,0.721,0.722,0.724,0.725,0.727,0.728,0.728,0.729,0.732,0.739,0.743,0.743,0.745,0.747,0.747,0.748,0.751,0.751,0.759,0.762,0.765,0.766,0.77,0.771,0.772,0.776,
art.jar,earleyTableIndexedPool.artv3,Pascal,iso_pascal_7185/tok/pascal.art,rhul/tok/view_ite.tok,25434,ARTEarleyTableIndexedPool,accept,30,37.754,47.136,42.005,38.274,***,37.754,38.236,38.32,38.504,38.558,38.778,38.938,38.953,38.955,39.025,39.163,39.498,39.903,40.314,41.283,42.473,43.849,44.211,44.453,44.575,44.663,44.664,44.864,44.891,45.221,45.341,45.422,46.08,46.114,47.136,
script,earleyIndexedPool_g++.bat,C,ansi_c/tok/ansi_c.art,rhul/tok/bool.tok,14093,ARTEarleyIndexedPool (C),accept,30,26.914,31.319,27.631,26.974,***,26.914,26.945,26.968,27.011,27.033,27.085,27.128,27.129,27.234,27.246,27.303,27.375,27.397,27.403,27.421,27.445,27.447,27.485,27.512,27.52,27.559,27.567,27.576,27.706,27.71,27.745,27.824,28.023,30.908,31.319,
script,earleyTableIndexedPool_g++.bat,Pascal,iso_pascal_7185/tok/pascal.art,rhul/tok/quad.tok,1417,ARTEarleyTableIndexedPool (C),accept,30,2.526,3.547, 3.303, 2.940,***,2.526,2.601,3.177,3.19,3.207,3.254,3.273,3.282,3.286,3.299,3.3,3.302,3.307,3.311,3.339,3.34,3.343,3.352,3.355,3.377,3.39,3.394,3.433,3.457,3.461,3.477,3.489,3.493,3.538,3.547,
gtb_mgw32_gcc_O3.exe,rnglr_lr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/view_ite.tok,24515,RNLGR (GTB with standard memory allocator),accept,30,12.379,14.259,12.994,12.557,***,12.379,12.483,12.621,12.64,12.664,12.671,12.71,12.782,12.811,12.912,12.927,12.935,12.936,12.959,12.996,13.004,13.046,13.05,13.092,13.096,13.104,13.118,13.12,13.129,13.206,13.231,13.278,13.322,13.325,14.259,
gtb_mgw32_gcc_O3.exe,rnglr_lr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/treeview.tok,24234,RNLGR (GTB with standard memory allocator),accept,30,12.201,13.196,12.827,12.546,***,12.201,12.373,12.698,12.712,12.745,12.746,12.751,12.778,12.791,12.791,12.801,12.818,12.83,12.834,12.839,12.85,12.872,12.879,12.886,12.891,12.895,12.923,12.93,12.932,12.937,12.959,12.962,12.976,13.014,13.196,
script,earleyIndexedPool_g++.bat,Pascal,iso_pascal_7185/tok/pascal.art,rhul/tok/treeview.tok,24234,ARTEarleyIndexedPool (C),accept,30,13.519,16.032,13.811,13.555,***,13.519,13.556,13.556,13.572,13.574,13.587,13.604,13.604,13.608,13.622,13.637,13.649,13.654,13.661,13.666,13.673,13.677,13.685,13.687,13.692,13.694,13.702,13.722,13.737,13.742,13.772,13.79,13.832,15.831,16.032,
script,earleyTableIndexedPool_g++.bat,C,ansi_c/tok/ansi_c.art,rhul/tok/gtb_src.tok,110671,ARTEarleyTableIndexedPool (C),accept,30,62.967,71.639,64.444,63.215,***,62.967,63.241,63.258,63.277,63.331,63.333,63.399,63.415,63.486,63.518,63.731,63.902,63.995,64.185,64.192,64.208,64.288,64.373,64.492,64.542,64.559,64.591,64.628,64.669,64.92,64.951,64.991,65.765,67.488,71.639,
art.jar,earleyTableIndexedPool.artv3,C,ansi_c/tok/ansi_c.art,rhul/tok/gtb_src.tok,117560,ARTEarleyTableIndexedPool,accept,30,142.221,178.225,157.498,144.137,***,142.221,143.715,143.746,144.304,146.7,147.133,148.58,151.18,152.266,153.282,153.82,154.682,154.951,156.41,157.27,158.887,159.146,159.549,159.977,160.126,160.734,162.138,162.235,162.429,163.441,167.639,169.405,174.305,176.45,178.225,
script,earleyTableIndexedPool_g++.bat,C,ansi_c/tok/ansi_c.art,rhul/tok/bool.tok,14093,ARTEarleyTableIndexedPool (C),accept,30,9.832,12.376,11.606,10.214,***,9.832,9.852,9.921,10.027,11.436,11.488,11.625,11.633,11.634,11.634,11.665,11.669,11.699,11.737,11.797,11.806,11.825,11.834,11.896,11.916,11.948,11.988,11.992,11.999,12.053,12.108,12.137,12.299,12.351,12.376,
art.jar,gllbaseLine.art,C,ansi_c/tok/ansi_c.art,rhul/tok/bool.tok,14890,GLLBaseLine,accept,30,492.985,680.804,541.690,503.771,***,492.985,497.543,506.868,508.48,512.98,515.498,522.144,522.195,522.355,522.852,523.103,523.498,523.834,525.057,526.568,529.324,530.032,536.944,537.082,541.169,548.998,553.517,553.887,556.238,561.905,579.96,587.319,593.756,613.803,680.804,
gtb_mgw32_gcc_O3.exe,brnglr_lr1.gtb,C,ansi_c/tok/ansi_c.gtb,rhul/tok/bool.tok,14093,BRNLGR (GTB with standard memory allocator),accept,30,17.716,18.193,17.893,17.758,***,17.716,17.727,17.756,17.792,17.801,17.805,17.806,17.832,17.833,17.848,17.849,17.861,17.864,17.878,17.879,17.886,17.889,17.895,17.901,17.909,17.917,17.948,17.95,17.968,17.989,18.005,18.019,18.02,18.068,18.193,
gtb_mgw32_gcc_O3_pool.exe,rnglr_lr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/quad.tok,1417,RNLGR (GTB with Pool),accept,30,0.706,0.806, 0.749, 0.713,***,0.706,0.711,0.714,0.717,0.717,0.717,0.72,0.724,0.727,0.727,0.728,0.73,0.731,0.731,0.738,0.749,0.752,0.753,0.762,0.767,0.768,0.769,0.773,0.778,0.78,0.782,0.795,0.8,0.802,0.806,
gtb_mgw32_gcc_O3_pool.exe,rnglr_slr1.gtb,C,ansi_c/tok/ansi_c.gtb,rhul/tok/rdp_full.tok,79797,RNLGR (GTB with Pool),accept,30,97.231,108.291,101.344,98.582,***,97.231,97.677,98.472,99.581,99.947,100.1,100.112,100.189,100.278,100.304,100.352,100.377,100.444,100.68,100.698,100.726,100.761,101.269,101.364,101.579,101.735,102.04,102.049,102.174,102.648,102.981,104.491,105.656,106.119,108.291,
gtb_mgw32_gcc_O3.exe,rnglr_slr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/view_ite.tok,24515,RNLGR (GTB with standard memory allocator),accept,30,10.162,11.068,10.538,10.225,***,10.162,10.203,10.228,10.258,10.274,10.28,10.36,10.383,10.411,10.418,10.421,10.438,10.438,10.457,10.469,10.528,10.53,10.548,10.57,10.594,10.608,10.697,10.735,10.743,10.744,10.804,10.88,10.89,11.004,11.068,
gtb_mgw32_gcc_O3.exe,rnglr_slr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/treeview.tok,24234,RNLGR (GTB with standard memory allocator),accept,30,9.659,10.406,10.075, 9.724,***,9.659,9.695,9.705,9.744,9.817,9.845,9.847,9.856,9.869,10.031,10.063,10.073,10.085,10.098,10.109,10.125,10.141,10.155,10.16,10.171,10.188,10.201,10.232,10.239,10.274,10.322,10.366,10.372,10.389,10.406,
script,earleyTableIndexedPool_g++.bat,Pascal,iso_pascal_7185/tok/pascal.art,rhul/tok/treeview.tok,24234,ARTEarleyTableIndexedPool (C),accept,30,11.081,37.44,13.854,11.938,***,11.081,12.058,12.075,12.194,12.284,12.338,12.384,12.463,12.466,12.493,12.507,12.553,12.553,12.602,12.634,12.707,12.879,12.903,12.963,12.983,13.01,13.263,13.582,13.652,14.024,14.143,14.605,15.147,17.622,37.44,
art.jar,gllbaseLine.art,C,ansi_c/tok/ansi_c.art,rhul/tok/gtb_src.tok,117560,GLLBaseLine,accept,30,13973.576,16355.282,14622.916,14127.929,***,13973.576,14120.318,14131.37,14190.743,14223.636,14227.897,14271.817,14306.775,14348.503,14355.85,14384.83,14402.482,14431.987,14449.852,14450.45,14603.66,14608.533,14645.236,14646.004,14646.217,14692.104,14760.044,14815.105,14818.688,14910.253,14932.848,15154.685,15307.652,15521.088,16355.282,
gtb_mgw32_gcc_O3.exe,rnglr_slr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/quad.tok,1417,RNLGR (GTB with standard memory allocator),accept,30,0.543,0.624, 0.567, 0.549,***,0.543,0.548,0.551,0.552,0.553,0.554,0.555,0.555,0.556,0.557,0.561,0.562,0.562,0.564,0.565,0.565,0.565,0.566,0.569,0.572,0.572,0.574,0.576,0.577,0.577,0.577,0.583,0.584,0.588,0.624,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/tok/ansi_c.gtb,rhul/tok/gtb_src.tok,110671,BRNLGR (GTB with Pool),accept,30,149.318,176.844,154.262,149.925,***,149.318,149.634,149.918,150.22,150.537,150.541,150.837,150.882,151.276,151.577,151.744,151.84,152.879,152.922,152.985,153.639,153.642,154.328,154.503,154.611,154.699,154.824,155.255,155.666,156.626,157.213,157.241,158.518,163.135,176.844,
gtb_mgw32_gcc_O3.exe,rnglr_lr1.gtb,C,ansi_c/tok/ansi_c.gtb,rhul/tok/bool.tok,14093,RNLGR (GTB with standard memory allocator),accept,30,13.104,14.332,13.734,13.252,***,13.104,13.108,13.201,13.33,13.519,13.527,13.591,13.597,13.605,13.641,13.657,13.66,13.703,13.724,13.749,13.751,13.756,13.759,13.821,13.839,13.842,13.886,13.914,13.953,13.965,14.023,14.061,14.102,14.293,14.332,
gtb_mgw32_gcc_O3_pool.exe,rnglr_lr1.gtb,Pascal,iso_pascal_7185/tok/pascal.gtb,rhul/tok/view_ite.tok,24515,RNLGR (GTB with Pool),accept,30,12.187,13.257,12.835,12.390,***,12.187,12.317,12.36,12.514,12.571,12.594,12.67,12.726,12.732,12.763,12.769,12.865,12.89,12.894,12.918,12.928,12.928,12.929,12.931,12.974,12.98,12.983,12.989,13.014,13.02,13.062,13.08,13.093,13.12,13.257,
