tool,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TStdev,TMedian,Outlier threshold,Dropped,TMeanAfterDrop,TStdedAfterDrop,Results...
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyIndexedPool (C),accept,100,182.218,217.622,196.284, 4.073,196.588,199.672,3,197.976, 3.899,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyTableIndexedPool (C),accept,100,52.797,55.092,53.843, 0.534,54.027,55.263,1,54.387, 0.768,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyTableIndexedPool (C),accept,100,12.429,13.819,12.862, 0.216,12.845,13.350,3,12.979, 0.230,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableData/smlSLE25ET.gtb,MLWorks/earleyTableData/_yacc.tok,5011,BRNLGR (GTB with Pool),accept,100,29.339,33.965,31.063, 0.512,31.088,31.818,4,31.337, 0.522,***,
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyIndexedPool,accept,100,82.151,104.563,94.022, 3.893,94.601,104.528,2,94.874, 3.905,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableData/pascal.gtb,rhul/earleyTableData/pascal1.tok,4425,BRNLGR (GTB with Pool),accept,100,12.189,15.125,13.135, 0.356,13.138,13.593,7,13.217, 0.284,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/c2.tok,26551,BRNLGR (GTB with Pool),accept,100,100.728,202.576,114.469,15.161,110.605,126.408,12,111.390, 5.189,***,
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyIndexedPool (C),accept,100,451.763,489.2,484.924, 6.103,486.028,491.062,1,489.823, 7.881,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyTableIndexedPool (C),accept,100,11.409,12.274,11.669, 0.162,11.664,12.022,5,11.770, 0.175,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/java2.tok,19085,BRNLGR (GTB with Pool),accept,100,296.361,336.895,318.797,12.436,325.748,365.790,1,322.017,12.915,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyTableIndexedPool,accept,100,105.239,139.045,116.717, 6.911,115.011,132.598,4,117.365, 6.344,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c3.tok,36827,ARTEarleyTableIndexedPool,accept,100,141.96,185.889,157.668,10.251,153.950,188.366,1,159.260,10.428,***,
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyTableIndexedPool,accept,100,35.194,60.749,44.127, 4.182,45.432,57.469,2,44.408, 3.896,***,
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c3.tok,36827,ARTEarleyIndexedPool (C),accept,100,248.6,289.555,268.033, 6.152,268.928,274.679,3,270.384, 6.186,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableData/smlSLE25ET.gtb,MLWorks/earleyTableData/lego_lex.tok,3031,BRNLGR (GTB with Pool),accept,100,12.149,16.107,13.028, 0.394,13.003,13.531,2,13.129, 0.279,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyTableIndexedPool (C),accept,100,10.058,11.07,10.339, 0.215,10.303,10.686,9,10.402, 0.177,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/lego_lex.tok,3031,ARTEarleyTableIndexedPool (C),accept,100,10.064,11.202,10.457, 0.181,10.433,10.799,5,10.543, 0.177,***,
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyIndexedPool,accept,100,484.012,983.525,639.653,100.825,641.776,989.191,1,646.114,101.549,***,
art.jar,earleyIndexedPoolV3_g++.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/_simplelambda.tok,18565,ARTEarleyIndexedPool (C),accept,100,224.568,259.23,241.980, 3.171,241.882,245.215,3,244.262, 3.668,***,
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyIndexedPool,accept,100,1451.696,1695.35,1559.247,44.976,1555.416,1688.743,2,1573.769,46.147,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyTableIndexedPool,accept,100,34.999,48.282,41.067, 2.947,40.298,48.631,1,41.481, 2.992,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyTableIndexedPool (C),accept,100,99.364,114.822,101.219, 1.797,101.551,104.849,2,102.114, 1.566,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/c3.tok,36827,BRNLGR (GTB with Pool),accept,100,149.573,276.538,176.406,23.294,168.411,204.150,7,173.032,10.891,***,
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyIndexedPool,accept,100,62.96,80.531,70.985, 3.232,71.377,79.795,2,71.612, 3.201,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyTableIndexedPool (C),accept,100,49.845,59.756,51.181, 1.158,51.019,51.623,10,51.504, 0.671,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/c1.tok,4291,BRNLGR (GTB with Pool),accept,100,14.87,17.961,15.696, 0.484,15.591,16.513,7,15.768, 0.329,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableData/smlSLE25ET.gtb,MLWorks/earleyTableData/_simplelambda.tok,18565,BRNLGR (GTB with Pool),accept,100,327.764,369.381,346.703, 6.386,346.045,364.494,3,349.820, 6.678,***,
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyIndexedPool (C),accept,100,13.984,14.938,14.288, 0.177,14.230,14.710,3,14.424, 0.219,***,
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyIndexedPool (C),accept,100,222.488,241.541,238.956, 3.013,239.489,242.439,1,241.370, 3.888,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/_yacc.tok,5011,ARTEarleyTableIndexedPool (C),accept,100,15.742,17.354,16.213, 0.249,16.173,16.649,7,16.341, 0.238,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,COBOL,rhul/earleyTableData/cob_rob.gtb,rhul/earleyTableData/cobol1.tok,2197,BRNLGR (GTB with Pool),accept,100,13.523,32.365,14.516, 1.852,14.330,15.104,4,14.454, 0.393,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyTableIndexedPool,accept,100,188.333,256.229,208.954,13.507,205.677,236.914,6,209.191,10.851,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c3.tok,36827,ARTEarleyTableIndexedPool (C),accept,100,68.244,75.069,69.229, 0.875,69.495,71.481,2,69.876, 0.967,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyTableIndexedPool,accept,100,109.49,140.529,119.426, 5.594,118.399,131.170,6,119.902, 4.663,***,
art.jar,earleyIndexedPoolV3.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/lego_lex.tok,3031,ARTEarleyIndexedPool,accept,100,54.436,62.404,59.026, 1.757,59.053,63.621,1,59.623, 1.866,***,
