 ,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TBest5Mean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyIndexedPool,accept,30,150.317,169.032,158.504,151.712,***,150.317,150.854,150.985,152.443,153.961,154.274,154.54,154.607,154.825,155.633,156.285,156.803,157.035,157.431,157.709,158.204,159.139,160.186,160.474,160.583,161.057,162.081,162.094,162.284,163.076,163.092,164.404,164.607,167.095,169.032
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyIndexedPool (C),accept,30,102.06,103.238,102.758,102.404,***,102.06,102.438,102.474,102.477,102.572,102.602,102.612,102.628,102.634,102.65,102.657,102.66,102.673,102.69,102.694,102.718,102.775,102.789,102.817,102.881,102.889,102.94,102.945,102.971,102.993,103.025,103.054,103.075,103.108,103.238
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyTableIndexedPool,accept,30,78.099,92.587,86.934,81.731,***,78.099,81.75,82.27,83.209,83.327,84.565,85.023,85.131,85.254,85.527,85.644,85.823,85.883,85.993,86.472,87.469,87.538,88.077,88.362,88.763,88.857,89.169,89.192,90.108,90.263,90.464,90.908,91.003,91.297,92.587
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.090,90,ARTEarleyTableIndexedPool (C),accept,30,9.047,9.889,9.227,9.096,***,9.047,9.099,9.102,9.114,9.119,9.13,9.13,9.146,9.147,9.15,9.15,9.165,9.17,9.176,9.19,9.191,9.199,9.207,9.209,9.209,9.255,9.263,9.279,9.286,9.303,9.323,9.328,9.417,9.431,9.889
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyIndexedPool,accept,30,212.076,254.091,223.677,213.589,***,212.076,212.487,212.968,214.897,215.516,215.574,215.877,216.434,217.78,218.79,219.086,220.787,221.629,221.635,221.748,222.003,223.119,223.152,223.976,224.555,224.977,225.151,227.177,227.194,229.031,230.221,231.236,239.568,247.576,254.091
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyIndexedPool (C),accept,30,142.19,148.294,147.3,146.003,***,142.19,146.787,146.969,147.002,147.066,147.128,147.16,147.175,147.175,147.237,147.268,147.283,147.364,147.38,147.415,147.416,147.46,147.473,147.526,147.619,147.631,147.675,147.707,147.822,147.825,147.873,147.944,148.051,148.085,148.294
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyTableIndexedPool,accept,30,92.295,107.084,100.692,95.375,***,92.295,95.817,95.956,96.369,96.438,97.299,97.717,97.77,99.036,99.291,99.789,99.895,99.929,99.966,100.742,101.102,101.852,102.043,102.326,102.674,103.258,103.269,103.345,103.567,103.741,103.925,104.232,104.624,105.403,107.084
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.100,100,ARTEarleyTableIndexedPool (C),accept,30,12.403,13.779,12.672,12.473,***,12.403,12.459,12.491,12.501,12.512,12.523,12.527,12.543,12.543,12.558,12.572,12.573,12.58,12.586,12.587,12.591,12.6,12.609,12.618,12.631,12.638,12.677,12.715,12.727,12.729,12.801,12.874,12.972,13.252,13.779
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyIndexedPool,accept,30,275.521,317.337,282.789,277.168,***,275.521,276.795,277.087,278.094,278.344,278.423,278.45,278.508,278.527,278.586,278.767,278.979,279.018,279.159,280.285,280.359,280.524,280.725,280.761,281.13,281.263,282.66,283.291,284.258,285.004,290.859,291.835,293.601,295.534,317.337
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyIndexedPool (C),accept,30,203.972,216.45,205.676,204.478,***,203.972,204.236,204.605,204.767,204.809,204.826,204.831,204.855,204.901,205.065,205.147,205.163,205.26,205.281,205.37,205.389,205.41,205.451,205.472,205.516,205.581,205.661,205.735,205.825,205.847,205.899,206.116,206.141,206.696,216.45
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyTableIndexedPool,accept,30,117.415,130.153,123.212,117.987,***,117.415,117.627,117.912,118.313,118.666,118.947,119.996,120.039,120.071,121.167,121.312,121.389,122.074,122.579,123.595,123.898,124.055,124.265,124.512,124.956,125.298,125.63,125.889,126.431,126.652,127.275,128.267,128.386,129.58,130.153
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.110,110,ARTEarleyTableIndexedPool (C),accept,30,16.518,16.918,16.77,16.625,***,16.518,16.565,16.658,16.684,16.7,16.719,16.725,16.727,16.73,16.731,16.753,16.755,16.768,16.77,16.771,16.779,16.784,16.786,16.795,16.795,16.82,16.827,16.833,16.836,16.84,16.844,16.875,16.887,16.917,16.918
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyIndexedPool,accept,30,362.448,403.759,375.416,364.163,***,362.448,364.017,364.047,364.276,366.025,368.489,369.084,369.396,369.465,369.58,369.61,369.761,370.227,370.766,371.176,371.287,371.549,372.177,372.35,372.671,373.408,375.927,379.877,383.089,389.112,389.525,390.219,398.093,401.083,403.759
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyIndexedPool (C),accept,30,268.001,286.392,278.839,275.853,***,268.001,277.751,277.796,277.84,277.876,278.094,278.13,278.205,278.231,278.248,278.354,278.382,278.486,278.537,278.607,278.696,278.717,278.736,278.845,278.978,278.985,279.001,279.168,279.468,279.678,279.855,280.807,282.364,282.944,286.392
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyTableIndexedPool,accept,30,133.298,148.01,140.918,134.496,***,133.298,133.822,134.212,135.566,135.582,135.957,136.027,136.439,136.843,137.529,137.898,138.883,139.337,139.951,142.22,142.339,142.917,143.546,143.747,143.753,143.786,144.278,144.471,145.312,145.881,146.069,146.475,146.56,146.823,148.01
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.120,120,ARTEarleyTableIndexedPool (C),accept,30,21.677,22.207,22.004,21.789,***,21.677,21.771,21.796,21.827,21.872,21.898,21.92,21.931,21.94,21.953,21.96,21.966,21.97,21.977,22.018,22.04,22.042,22.059,22.069,22.07,22.072,22.073,22.1,22.116,22.131,22.135,22.162,22.172,22.204,22.207
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyIndexedPool,accept,30,472.858,512.719,492.353,480.024,***,472.858,477.925,481.791,483.031,484.514,485.211,486.06,486.138,486.55,486.865,487.275,487.437,488.26,490.095,491.16,491.224,491.259,492.116,493.231,494.587,495.737,498.78,499.294,499.705,499.835,500.621,507.278,508.05,510.992,512.719
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyIndexedPool (C),accept,30,357.163,372.384,370.136,366.829,***,357.163,368.614,369.364,369.411,369.594,369.995,370.099,370.125,370.213,370.264,370.291,370.353,370.356,370.466,370.585,370.608,370.671,370.682,370.753,370.938,370.993,371.004,371.101,371.199,371.227,371.259,371.277,371.452,371.638,372.384
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyTableIndexedPool,accept,30,152.509,175.311,161.674,157.431,***,152.509,157.086,158.378,159.519,159.665,159.683,159.84,160.407,160.485,160.542,160.688,160.801,161.161,161.373,161.498,161.771,161.772,161.87,162.013,162.049,162.072,162.171,162.344,163.14,163.51,163.694,164.073,164.23,166.578,175.311
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.130,130,ARTEarleyTableIndexedPool (C),accept,30,28.061,28.73,28.411,28.166,***,28.061,28.087,28.2,28.239,28.241,28.254,28.262,28.318,28.337,28.34,28.34,28.36,28.381,28.396,28.404,28.415,28.45,28.461,28.503,28.504,28.525,28.525,28.526,28.528,28.539,28.551,28.619,28.622,28.624,28.73
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyIndexedPool,accept,30,612.16,693.596,639.628,616.092,***,612.16,615.493,616.516,617.485,618.805,622.059,623.216,625.025,625.384,632.445,633.207,637.599,638.738,639.017,639.581,640.157,640.534,641.217,643.547,645.027,645.415,647.206,648.295,648.934,649.457,651.565,661.46,661.522,674.185,693.596
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyIndexedPool (C),accept,30,464.654,490.067,483.134,478.169,***,464.654,481.13,481.629,481.683,481.747,481.967,482.374,482.572,482.774,482.881,482.882,483,483.213,483.257,483.295,483.377,483.504,483.578,483.592,483.695,483.989,484.182,484.544,484.911,484.952,485.42,485.649,485.916,487.588,490.067
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyTableIndexedPool,accept,30,180.263,190.129,184.3,181.543,***,180.263,181.196,181.935,182.13,182.191,182.357,182.476,182.534,182.708,182.796,182.827,183.206,183.288,183.587,183.825,184.123,184.253,184.662,184.678,184.706,184.843,185.551,185.562,185.821,186.662,186.694,187.603,188.166,188.238,190.129
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.140,140,ARTEarleyTableIndexedPool (C),accept,30,35.832,39.639,36.424,35.889,***,35.832,35.883,35.886,35.903,35.94,35.95,36.041,36.059,36.101,36.109,36.163,36.173,36.19,36.192,36.221,36.237,36.243,36.246,36.248,36.256,36.275,36.312,36.349,36.399,36.463,36.468,36.546,37.127,39.258,39.639
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyIndexedPool,accept,30,755.68,803.456,771.532,759.428,***,755.68,755.837,759.252,761.995,764.376,764.875,766.404,766.407,766.484,766.805,767.363,768.585,768.643,768.682,769.724,769.79,770.325,770.343,770.797,771.904,773.647,774.193,775.237,777.118,778.884,780.746,783.42,784.786,790.216,803.456
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyIndexedPool (C),accept,30,616.295,637.406,619.693,616.993,***,616.295,616.879,617.022,617.351,617.418,617.555,618.218,618.314,618.342,618.437,618.54,618.576,618.623,618.69,618.863,619.284,619.481,619.664,619.751,619.829,619.869,620.091,620.176,620.422,620.731,620.823,620.945,620.957,622.234,637.406
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyTableIndexedPool,accept,30,207.752,250.439,216.538,208.804,***,207.752,208.468,208.643,208.951,210.206,210.808,210.825,211.43,211.548,211.739,211.781,212.329,212.397,213.176,213.177,213.425,213.928,214.702,214.815,215.087,215.409,215.771,217.471,218.058,220.296,223.71,232.045,233.775,233.972,250.439
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.150,150,ARTEarleyTableIndexedPool (C),accept,30,44.081,46.95,45.613,44.871,***,44.081,44.941,45.048,45.072,45.212,45.253,45.317,45.356,45.408,45.415,45.508,45.554,45.574,45.58,45.605,45.629,45.642,45.654,45.659,45.703,45.74,45.862,45.955,45.984,46.039,46.084,46.095,46.212,46.248,46.95
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyIndexedPool,accept,30,934.007,1031.096,978.18,954.631,***,934.007,949.442,961.133,962.527,966.048,966.623,967.258,967.588,967.733,967.791,969.08,970.148,970.263,971.021,971.957,972.013,974.185,976.692,977.296,978.373,980.111,980.589,982.275,984.599,985.234,1003.969,1008.933,1017.971,1029.458,1031.096
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyIndexedPool (C),accept,30,755.699,790.994,779.679,771.599,***,755.699,769.517,776.805,777.915,778.059,778.926,779.109,779.17,779.304,779.415,779.783,779.803,779.894,779.987,780.151,780.209,780.458,780.52,780.68,780.698,780.833,780.986,781.511,781.576,781.749,781.766,781.945,782.234,790.67,790.994
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyTableIndexedPool,accept,30,238.153,265.265,245.727,239.746,***,238.153,238.998,239.387,239.507,242.685,242.717,242.904,243.122,243.185,243.419,243.552,244.336,244.446,244.784,245.301,246.086,246.098,246.174,246.181,246.338,246.443,246.502,246.679,246.744,247.524,247.856,249.31,249.579,258.536,265.265
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.160,160,ARTEarleyTableIndexedPool (C),accept,30,55.026,63.037,56.709,55.776,***,55.026,55.702,55.868,56.131,56.153,56.155,56.256,56.27,56.28,56.284,56.324,56.332,56.362,56.408,56.413,56.446,56.471,56.481,56.538,56.626,56.641,56.66,56.721,56.785,56.961,56.972,57.155,57.172,58.652,63.037
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyIndexedPool,accept,30,1202.145,1241.806,1220.005,1207.535,***,1202.145,1207.371,1208.561,1209.5,1210.099,1210.103,1210.421,1211.797,1213.554,1213.822,1215.126,1215.942,1215.997,1217.703,1218.787,1219.564,1219.58,1219.931,1221.177,1222.916,1223.13,1223.471,1226.584,1229.023,1230.145,1231.204,1233.655,1237.337,1239.691,1241.806
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyIndexedPool (C),accept,30,953.06,986.806,975.4,967.795,***,953.06,967.464,972.279,972.923,973.248,973.751,973.801,974.191,974.996,975.07,975.187,975.477,975.541,975.763,975.87,976.222,976.283,976.531,976.545,976.633,976.669,976.952,977.58,977.653,978.548,978.609,978.724,978.917,980.711,986.806
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyTableIndexedPool,accept,30,268.243,294.016,278.984,271.717,***,268.243,270.973,271.551,273.247,274.573,274.716,274.75,276.242,277.839,277.888,278.076,278.151,278.579,278.596,279.221,279.273,279.406,279.552,279.808,279.865,279.929,280.321,280.38,280.56,280.783,282.368,283.729,283.785,293.102,294.016
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.170,170,ARTEarleyTableIndexedPool (C),accept,30,67.597,71.419,69.595,68.599,***,67.597,68.709,68.737,68.828,69.125,69.137,69.244,69.265,69.324,69.413,69.416,69.455,69.479,69.521,69.556,69.57,69.579,69.585,69.719,69.775,69.792,69.819,70.002,70.061,70.257,70.3,70.305,70.368,70.48,71.419
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyIndexedPool,accept,30,1459.187,1617.739,1490.335,1467.13,***,1459.187,1464.285,1469.005,1471.179,1471.994,1472.221,1474.717,1475.288,1475.499,1476.441,1476.817,1476.917,1480.809,1481.524,1482.173,1483.607,1486.84,1488.829,1488.839,1489.826,1492.716,1495.771,1497.622,1502.673,1503.6,1503.975,1505.314,1515.115,1529.535,1617.739
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyIndexedPool (C),accept,30,1174.047,1222.438,1201.277,1192.252,***,1174.047,1196.23,1196.776,1196.986,1197.22,1197.425,1199.762,1199.8,1199.818,1200.005,1200.314,1201.003,1201.416,1201.492,1201.547,1201.637,1201.804,1201.817,1202.036,1202.139,1202.308,1202.439,1203.081,1203.339,1203.599,1204.125,1204.128,1205.064,1214.505,1222.438
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyTableIndexedPool,accept,30,296.91,337.472,318.136,306.386,***,296.91,307.432,308.543,309.322,309.725,311.379,311.553,313.731,314.591,314.943,316.035,318.508,318.708,318.812,318.835,319.06,319.451,319.623,319.743,320.779,320.825,321.22,321.905,322.352,323.781,324.223,324.444,325.341,334.82,337.472
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.180,180,ARTEarleyTableIndexedPool (C),accept,30,84.048,91.604,84.989,84.304,***,84.048,84.17,84.343,84.441,84.518,84.518,84.56,84.569,84.593,84.614,84.624,84.629,84.63,84.641,84.651,84.662,84.694,84.701,84.737,84.744,84.773,84.835,84.851,84.893,84.921,84.996,85.28,85.556,86.871,91.604
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyIndexedPool,accept,30,1726.793,1825.662,1777.848,1746.879,***,1726.793,1739.435,1749.172,1757.918,1761.075,1761.912,1765.948,1768.098,1770.701,1772.404,1775.123,1775.651,1777.39,1777.831,1779.902,1782.624,1782.999,1783.019,1783.872,1785.358,1785.439,1786.255,1787.178,1787.412,1788.178,1789.623,1790.512,1800.943,1817.006,1825.662
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyIndexedPool (C),accept,30,1418.326,1556.755,1466.947,1445.836,***,1418.326,1435.325,1451.801,1461.283,1462.447,1463.115,1463.121,1464.402,1464.563,1464.642,1465.033,1465.73,1466.091,1466.322,1466.72,1466.938,1467.634,1468.029,1468.106,1468.225,1468.231,1468.708,1468.956,1469.065,1469.222,1469.53,1469.657,1473.247,1477.184,1556.755
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyTableIndexedPool,accept,30,346.837,373.51,365.192,356.277,***,346.837,356.565,358.885,359.347,359.749,360.029,361.137,361.337,361.944,362.474,363.511,363.645,364.242,364.44,364.759,366.235,366.592,367.588,367.852,368.216,368.534,368.907,369.665,370.291,370.498,371.878,372.107,372.129,372.852,373.51
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.190,190,ARTEarleyTableIndexedPool (C),accept,30,101.594,105.935,103.148,101.947,***,101.594,101.858,102.029,102.047,102.207,102.28,102.605,102.607,102.651,102.775,102.922,102.945,102.961,102.994,103.012,103.019,103.072,103.084,103.103,103.129,103.21,103.232,103.254,103.304,103.53,103.654,103.983,105.713,105.725,105.935
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyIndexedPool,accept,30,2063.621,2204.851,2110.85,2075.704,***,2063.621,2065.186,2079.169,2081.137,2089.407,2090.246,2091.968,2092.41,2095.467,2102.788,2106.295,2107.587,2108.393,2110.466,2111.854,2113.496,2115.304,2116.638,2116.804,2117,2117.689,2117.83,2124.006,2126.603,2126.868,2128.754,2131.977,2132.86,2138.838,2204.851
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyIndexedPool (C),accept,30,1768.55,1790.973,1777.654,1770.664,***,1768.55,1768.595,1771.696,1772.16,1772.32,1772.353,1773.409,1773.69,1774.29,1774.909,1775.185,1775.614,1775.728,1776.306,1776.667,1776.918,1776.955,1777.467,1777.564,1777.722,1778.131,1781.349,1781.825,1783.005,1784.599,1784.766,1784.79,1785.762,1786.336,1790.973
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyTableIndexedPool,accept,30,416.606,454.782,429.946,418.738,***,416.606,417.195,418.676,419.662,421.549,421.945,422.76,424.514,425.846,426.899,427.885,428.517,428.935,429.451,429.785,429.86,429.934,430.693,430.828,430.893,431.973,432.699,435.101,435.415,435.556,435.933,438.436,439.169,446.894,454.782
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.200,200,ARTEarleyTableIndexedPool (C),accept,30,122.056,125.574,123.148,122.328,***,122.056,122.156,122.433,122.49,122.504,122.567,122.7,122.701,122.814,122.822,122.862,122.894,122.909,122.949,123.047,123.094,123.12,123.171,123.203,123.266,123.285,123.349,123.382,123.443,123.707,123.87,123.899,123.934,124.244,125.574
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/java1.tok,1429,BRNLGR (GTB with Pool),accept,30,10.589,14.466,11.859,10.84,***,10.589,10.713,10.886,10.971,11.04,11.142,11.204,11.312,11.34,11.491,11.501,11.519,11.584,11.628,11.703,11.788,11.793,11.796,11.797,11.872,12.082,12.084,12.112,12.12,12.623,12.678,12.965,13.364,13.612,14.466
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyIndexedPool,accept,30,63.576,71.18,67.597,63.962,***,63.576,63.653,63.829,64.125,64.626,65.188,65.432,65.432,65.871,66.526,66.901,66.954,67.071,67.431,67.738,68.212,68.665,68.767,69.132,69.151,69.497,69.518,69.531,69.604,69.869,69.883,69.933,70.203,70.412,71.18
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyIndexedPool (C),accept,30,16.354,16.943,16.588,16.437,***,16.354,16.428,16.455,16.47,16.478,16.506,16.507,16.51,16.514,16.527,16.527,16.535,16.576,16.581,16.591,16.593,16.602,16.608,16.609,16.621,16.635,16.66,16.663,16.67,16.672,16.682,16.688,16.71,16.712,16.943
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyTableIndexedPool,accept,30,25.755,35.971,29.984,26.789,***,25.755,26.171,27.058,27.368,27.595,28.389,28.4,29.084,29.435,29.574,29.581,29.595,29.821,29.842,29.866,29.924,30.088,30.457,30.488,30.65,30.818,31.151,31.152,31.385,31.421,31.458,31.783,32.553,32.687,35.971
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyTableIndexedPool (C),accept,30,9.967,10.467,10.225,9.987,***,9.967,9.974,9.984,10,10.011,10.037,10.114,10.117,10.173,10.184,10.194,10.2,10.202,10.217,10.228,10.231,10.245,10.248,10.26,10.271,10.278,10.307,10.308,10.361,10.377,10.435,10.443,10.453,10.46,10.467
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/java2.tok,19085,BRNLGR (GTB with Pool),accept,30,295.364,309.625,304.374,298.583,***,295.364,296.413,298.58,300.65,301.906,302.99,303.016,303.038,303.153,303.474,303.736,303.815,304.202,304.272,304.611,304.716,304.757,305.187,305.524,305.653,305.941,306.095,306.328,306.398,307.633,307.917,308.516,308.719,308.997,309.625
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyIndexedPool,accept,30,755.738,1172.858,899.88,768.942,***,755.738,759.104,760.035,778.957,790.875,792.284,793.888,794.255,804.016,813.872,816.479,894.17,897.258,917.749,926.76,927.578,928.6,932.67,933.152,943.105,951.223,953.114,957.72,963.17,995.792,997.777,1007.029,1013.682,1023.488,1172.858
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyIndexedPool (C),accept,30,237.678,240.965,239.314,238.135,***,237.678,237.808,238.097,238.406,238.686,238.858,238.875,238.877,239.009,239.021,239.025,239.149,239.152,239.155,239.216,239.222,239.299,239.44,239.522,239.635,239.658,239.712,239.782,239.786,239.799,239.979,240.195,240.582,240.834,240.965
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyTableIndexedPool,accept,30,112.68,160.025,124.63,113.84,***,112.68,113.526,113.766,114.08,115.146,115.245,115.424,115.754,117.882,118.166,118.397,119.038,119.284,120.199,120.324,120.911,122.555,123.355,124.718,124.943,125.642,125.791,126.713,127.176,128.296,135.59,135.748,148.788,159.751,160.025
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java2.tok,19085,ARTEarleyTableIndexedPool (C),accept,30,52.558,58.11,53.783,53.126,***,52.558,52.929,53.264,53.382,53.497,53.567,53.574,53.581,53.603,53.605,53.606,53.61,53.621,53.631,53.648,53.669,53.683,53.688,53.709,53.715,53.724,53.79,53.805,53.82,53.834,53.847,53.913,53.971,54.534,58.11
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyIndexedPool,accept,30,1435.246,1608.088,1520.09,1465.192,***,1435.246,1468.138,1470.234,1471.95,1480.391,1480.893,1480.984,1481.56,1483.389,1490.251,1491,1495.673,1498.867,1508.37,1517.06,1524.209,1529.089,1531.862,1532.615,1533.574,1536.087,1540.964,1541.401,1542.288,1562.332,1583.359,1588.781,1590.615,1603.423,1608.088
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyIndexedPool (C),accept,30,462.273,487.78,483.585,473.51,***,462.273,468.357,472.556,481.869,482.496,482.604,482.696,483.551,484.189,484.478,484.542,484.586,484.714,484.774,484.945,484.988,485.388,485.649,485.893,486.099,486.1,486.18,486.494,486.843,486.997,487.409,487.606,487.708,487.776,487.78
