 ,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TBest5Mean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c3.tok,36827,ARTEarleyTableIndexedPool,accept,30,138.818,174.085,151.354,142.433,***,138.818,142.416,143.346,143.721,143.864,144.377,144.421,144.562,145.281,145.376,145.613,145.73,146.615,148.146,148.935,149.183,149.308,149.901,149.941,152.296,152.471,153.95,154.959,155.184,158.802,159.009,170.088,170.108,170.12,174.085
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c3.tok,36827,ARTEarleyTableIndexedPool (C),accept,30,68.11,182.648,73.133,68.655,***,68.11,68.664,68.762,68.786,68.953,68.972,69.004,69.16,69.174,69.179,69.187,69.211,69.218,69.233,69.257,69.281,69.337,69.391,69.453,69.57,69.571,69.639,69.723,69.743,69.784,69.824,70.114,70.335,70.719,182.648
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,COBOL,rhul/earleyTableData/cob_rob.gtb,rhul/earleyTableData/cobol1.tok,2197,BRNLGR (GTB with Pool),accept,30,13.438,25.797,15.723,13.952,***,13.438,13.991,14.041,14.098,14.193,14.27,14.288,14.473,14.549,14.579,14.752,14.871,14.935,15.026,15.059,15.072,15.18,15.479,15.524,15.674,15.822,15.849,16.276,16.398,16.694,16.755,17.325,17.364,19.91,25.797
art.jar,earleyIndexedPoolV3.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cobol1.tok,2197,ARTEarleyIndexedPool,accept,30,84.593,106.888,91.167,85.964,***,84.593,85.752,86.388,86.393,86.694,88.352,88.992,89.037,89.055,89.336,89.474,89.98,90.041,90.579,90.819,90.934,91.384,91.743,91.78,91.976,92.069,92.646,92.717,92.894,93.945,94.2,94.524,95.744,96.078,106.888
art.jar,earleyIndexedPoolV3_g++.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cobol1.tok,2197,ARTEarleyIndexedPool (C),accept,30,10.193,10.884,10.352,10.219,***,10.193,10.221,10.223,10.224,10.234,10.255,10.26,10.268,10.273,10.276,10.283,10.284,10.288,10.293,10.304,10.317,10.321,10.328,10.332,10.34,10.348,10.359,10.367,10.377,10.43,10.453,10.473,10.496,10.844,10.884
art.jar,earleyTableIndexedPoolV3.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cobol1.tok,2197,ARTEarleyTableIndexedPool,accept,30,25.316,39.614,29.809,26.048,***,25.316,25.679,26.268,26.453,26.522,26.571,26.729,26.737,26.853,26.881,26.892,27.182,27.312,27.673,27.971,28.296,28.619,29.431,29.631,29.845,30.593,32.432,32.509,33.8,34.71,35.064,35.26,35.325,38.11,39.614
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyIndexedPool,accept,30,2.093,2.685,2.407,2.182,***,2.093,2.101,2.182,2.262,2.271,2.29,2.301,2.31,2.316,2.33,2.346,2.359,2.386,2.39,2.398,2.412,2.416,2.424,2.444,2.453,2.467,2.477,2.478,2.501,2.579,2.598,2.625,2.635,2.68,2.685
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyIndexedPool (C),accept,30,0.138,0.157,0.142,0.139,***,0.138,0.139,0.139,0.14,0.14,0.14,0.14,0.14,0.14,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.142,0.142,0.142,0.142,0.143,0.143,0.143,0.143,0.143,0.143,0.144,0.156,0.157
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyTableIndexedPool,accept,30,16.687,26.655,23.314,18.443,***,16.687,17.612,18.914,19.177,19.823,20.749,21.275,22.356,22.366,23.53,23.583,23.618,23.669,23.764,23.864,23.891,24.07,24.624,24.891,24.903,24.91,24.982,25.035,25.125,25.288,25.766,25.782,25.96,26.548,26.655
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.010,10,ARTEarleyTableIndexedPool (C),accept,30,0.071,0.103,0.079,0.072,***,0.071,0.071,0.072,0.072,0.072,0.072,0.072,0.073,0.073,0.073,0.073,0.074,0.074,0.074,0.074,0.074,0.075,0.075,0.075,0.075,0.075,0.076,0.078,0.09,0.091,0.092,0.092,0.095,0.101,0.103
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyIndexedPool,accept,30,5.497,6.177,5.749,5.537,***,5.497,5.503,5.549,5.565,5.57,5.585,5.591,5.599,5.611,5.624,5.647,5.65,5.664,5.689,5.706,5.713,5.72,5.734,5.747,5.765,5.776,5.806,5.908,5.962,5.977,5.984,6.037,6.058,6.071,6.177
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyIndexedPool (C),accept,30,0.861,0.943,0.877,0.863,***,0.861,0.861,0.863,0.865,0.865,0.866,0.866,0.867,0.867,0.868,0.868,0.869,0.87,0.87,0.871,0.871,0.871,0.872,0.873,0.874,0.874,0.874,0.874,0.889,0.889,0.891,0.894,0.9,0.914,0.943
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyTableIndexedPool,accept,30,20.231,30.296,26.441,21.682,***,20.231,21.44,21.934,21.964,22.839,22.956,23.067,23.163,23.209,23.772,25.814,26.566,26.58,27.042,27.942,27.947,28.189,28.266,28.619,28.845,28.953,28.964,28.971,28.976,29.017,29.038,29.311,29.604,29.702,30.296
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyTableIndexedPool (C),accept,30,0.229,0.275,0.24,0.231,***,0.229,0.23,0.23,0.233,0.233,0.234,0.235,0.235,0.235,0.235,0.235,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.237,0.237,0.239,0.24,0.241,0.242,0.243,0.249,0.253,0.265,0.265,0.275
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyIndexedPool,accept,30,12.672,14.396,12.943,12.692,***,12.672,12.684,12.691,12.704,12.708,12.709,12.731,12.732,12.747,12.813,12.826,12.828,12.833,12.858,12.866,12.884,12.9,12.912,12.929,12.929,12.974,13.006,13.015,13.027,13.107,13.121,13.133,13.183,13.373,14.396
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyIndexedPool (C),accept,30,2.888,2.996,2.927,2.9,***,2.888,2.896,2.899,2.906,2.909,2.91,2.911,2.912,2.913,2.917,2.92,2.92,2.921,2.922,2.923,2.923,2.924,2.924,2.927,2.928,2.93,2.934,2.936,2.937,2.938,2.949,2.961,2.964,2.978,2.996
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyTableIndexedPool,accept,30,31.761,53.918,37.667,33.09,***,31.761,32.962,33.054,33.642,34.029,34.411,34.6,34.707,34.773,34.809,35.04,35.056,35.394,35.881,37.113,37.142,37.63,38.441,38.509,38.683,38.877,39.313,39.769,39.835,40.271,40.443,40.987,41.332,47.624,53.918
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyTableIndexedPool (C),accept,30,0.563,0.683,0.588,0.567,***,0.563,0.565,0.567,0.568,0.57,0.57,0.571,0.571,0.574,0.574,0.575,0.577,0.579,0.58,0.58,0.581,0.582,0.589,0.59,0.59,0.591,0.594,0.598,0.601,0.604,0.606,0.615,0.617,0.618,0.683
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyIndexedPool,accept,30,21.84,23.157,22.234,21.919,***,21.84,21.847,21.954,21.975,21.981,22.054,22.062,22.067,22.069,22.098,22.127,22.141,22.167,22.2,22.21,22.256,22.298,22.3,22.301,22.307,22.353,22.355,22.355,22.369,22.385,22.394,22.445,22.466,22.477,23.157
